"LANGUAGE","日本語","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"MOD_DESCRIPTION","カメラにモーションブラー効果を追加",""
"ENABLE_MOTION_BLUR_IN","以下のモードでモーションブラーを有効にする：",""
"GAME","ゲーム",""
"MAP_EDITOR","マップエディター","Use the official Cities: Skylines translation for this term"
"ASSET_EDITOR","アセットエディター","Use the official Cities: Skylines translation for this term"
"THEME_EDITOR","テーマエディター","Use the official Cities: Skylines translation for this term"
"SCENARIO_EDITOR","シナリオエディター","Use the official Cities: Skylines translation for this term"
"VANILLA_CAM","バニラカメラモード（フリーカメラモード＆シネマティックカメラ）","Use the official Cities: Skylines translation for this term"
"FPC","First Person Camera - Continued のすべてのモード",""
"ACME_FPS","ACMEのFPSモード",""
"PARAM","パラメータ",""
"ALGO","アルゴリズム",""
"ALGO_TOOLTIP","CameraMotion（カメラモーション）：カメラの回転と移動から計算されるValveスタイルのブラー。
LocalBlur（ローカルブラー）：ローカル速度ベクトルに沿ったシンプルなブラー。
Reconstruction（再構築）：タイルベースの速度推定を使用して、もっともらしいモーションブラーを実行します。
ReconstructionDX11（再構築DX11）：DirectX 11向けに最適化された高品質バージョン。
ReconstructionDisc（ディスク再構築）：パフォーマンスのために円盤状のカーネルサンプリングを使用します。","Keep the algorithm names (such as CameraMotion) unchanged. You may append the translation in parentheses after the name, e.g. 'CameraMotion (YOUR TRANSLATION)'."
"AVAILABLE_ONLY_TIP","この設定は、""{0}""がCameraMotionに設定されている場合にのみ適用されます。",""
"MOVEMENT_SCALE","移動スケール",""
"MOVEMENT_SCALE_TOOLTIP","カメラの平行移動がモーションブラーに与える影響を制御します。
値が高いほど、カメラ移動時のブラーが顕著になります。",""
"ROTATION_SCALE","回転スケール",""
"ROTATION_SCALE_TOOLTIP","カメラの回転がモーションブラーに与える影響を制御します。
値が高いほど、旋回時のブラーが強くなります。",""
"MAX_VELOCITY","最大速度",""
"MAX_VELOCITY_TOOLTIP","モーションブラーの軌跡の最大長さを設定します。
値が低いほどブラーがコンパクトになり、値が高いほど長い軌跡が可能になります。
Reconstructionベースのフィルターでは、この値は10に制限されます。",""
"MIN_VELOCITY","最小速度",""
"MIN_VELOCITY_TOOLTIP","ブラーが適用されない最低速度を設定します。
値が低いほど、微妙な動きでもブラーがかかります。",""
"VELOCITY_SCALE","速度スケール",""
"VELOCITY_SCALE_TOOLTIP","すべての速度ベクトルに適用されるグローバル乗数です。
増やすとモーションブラーの強度が誇張されます。",""
"SOFT_Z_DISTANCE","ソフトZ距離",""
"SOFT_Z_DISTANCE_TOOLTIP","深度の違いがブラーの遷移に与える影響を調整します。
値が低いほど前景と背景の分離が鮮明になり、値が高いほど滑らかにブレンドされます。",""
"JITTER","ジッター",""
"JITTER_TOOLTIP","サンプリング位置に適用されるランダムオフセットの量で、バンディングアーティファクトを軽減するのに役立ちます。
値が高いほど、ぼかしは柔らかくなりますが、目に見えるノイズが発生する可能性があります。",""
"TOGGLE_MOTION_BLUR","モーションブラーを切り替え",""
"TOGGLE_MOTION_BLUR_TOOLTIP","すべてのモードで機能します。ただし、上記のモードに切り替えると、その設定によって状態が上書きされます。",""
"RESET_SETTINGS","設定をリセット",""
