"LANGUAGE","繁體中文","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"MOD_DESCRIPTION","為攝影機添加動態模糊效果",""
"ENABLE_MOTION_BLUR_IN","為以下模式啟用動態模糊：",""
"GAME","遊戲",""
"MAP_EDITOR","地圖編輯器","Use the official Cities: Skylines translation for this term"
"ASSET_EDITOR","資產編輯器","Use the official Cities: Skylines translation for this term"
"THEME_EDITOR","主題編輯器","Use the official Cities: Skylines translation for this term"
"SCENARIO_EDITOR","劇本編輯器","Use the official Cities: Skylines translation for this term"
"VANILLA_CAM","原版攝影機模式（自由視角 & 電影攝影機）","Use the official Cities: Skylines translation for this term"
"FPC","First Person Camera - Continued 內的所有模式",""
"ACME_FPS","ACME 的 FPS 模式",""
"PARAM","參數",""
"ALGO","演算法",""
"ALGO_TOOLTIP","CameraMotion：Valve 風格模糊，基於攝影機的旋轉和平移計算。
LocalBlur：沿局部速度方向的簡單模糊。
Reconstruction：基於分塊速度估計的逼真動態模糊。
ReconstructionDX11：為 DirectX 11 優化的高品質版本。
ReconstructionDisc：使用圓盤形採樣核，效能更佳。","Keep the algorithm names (such as CameraMotion) unchanged. You may append the translation in parentheses after the name, e.g. 'CameraMotion (YOUR TRANSLATION)'."
"AVAILABLE_ONLY_TIP","此設置僅在 “{0}” 設為 “{1}” 時生效。",""
"MOVEMENT_SCALE","移動比例",""
"MOVEMENT_SCALE_TOOLTIP","控制攝影機平移對模糊的影響程度。
數值越高，移動時模糊越明顯。",""
"ROTATION_SCALE","旋轉強度",""
"ROTATION_SCALE_TOOLTIP","控制攝影機旋轉對模糊的影響程度。
數值越高，轉向時模糊越強。",""
"MAX_VELOCITY","最大速度",""
"MAX_VELOCITY_TOOLTIP","設定動態模糊拖尾的最大長度。
數值越低，模糊越緊湊；數值越高，拖尾越長。
對於基於 Reconstruction 的濾鏡，該值上限為 10。",""
"MIN_VELOCITY","最小速度",""
"MIN_VELOCITY_TOOLTIP","設置不產生模糊的最低速度閾值。
數值越低，越微小的運動也會被模糊。",""
"VELOCITY_SCALE","速度縮放",""
"VELOCITY_SCALE_TOOLTIP","應用於所有速度向量的全局乘數。
增大此值可增加動態模糊強度。",""
"VELOCITY_DOWNSAMPLE","速度降取樣因子",""
"VELOCITY_DOWNSAMPLE_TOOLTIP","設置為1表示禁用降取樣；較高的值會降低動態模糊的品質以提高性能。",""
"SOFT_Z_DISTANCE","軟深度過渡距離",""
"SOFT_Z_DISTANCE_TOOLTIP","調整深度差異對模糊過渡的影響。
數值越低，前景與背景的分離越清晰；數值越高，過渡越平滑。",""
"JITTER","抖動",""
"JITTER_TOOLTIP","施加在取樣位置上的隨機偏移量，有助於減少條帶偽影。
數值越高，模糊越柔和，但可能引入可見噪點。",""
"TOGGLE_MOTION_BLUR","切換動態模糊",""
"TOGGLE_MOTION_BLUR_TOOLTIP","在所有模式下均可使用。但切換到以上提及的模式時，狀態會被其設定覆蓋。",""
"RESET_SETTINGS","重置設定",""
